cartesian
"-3954863.760086529,3354894.1017490793"
"-1837500.4953218515,6068826.5741069345"
"1238035.2784508036,5462469.829411158"
"1780948.0850611161,5765173.082249627"
"-3178042.3573655514,5292644.389181052"
"-2851414.454549885,4659161.573963697"
"4016961.658027238,-4252855.439379263"
"-3045891.5090922522,4043502.6905759405"
"-955090.1021554869,-5940715.648617696"
"-2317409.3624029695,5391581.130460941"
"-2177822.98987045,4388849.913326142"
"4724041.94414689,2865423.368484471"
"1340955.745542718,-4653439.430944542"
"170959.5920057794,5891297.640912143"
"2849461.8700717166,2195791.6253531226"
"-1131002.7398638255,6092433.901195859"
"2755363.9605902564,-4475611.556886781"
"-2402394.328650669,5382208.527051859"
"-40214.202728491626,5841956.644068839"
"6326876.784763367,375885.7417527431"
"4217164.785646202,2333794.1962791136"
"-3739353.641591473,3679774.831156185"
"2261618.1821814626,5330625.08534351"
"1335106.9863717633,6071404.289964931"
"3233942.4431596,4053512.336470206"
"6134453.360203165,1679128.713657838"
"-1793484.9602418286,6003379.257222799"
"-2514788.4943340803,-4649684.963662376"
"4285180.786205665,-4023545.9596923483"
"-2051619.7536324873,4945917.3431398235"
"-2139544.7930147806,4488773.639463568"
"1049607.931324163,6124367.9665661575"
"-1334353.7253298662,5326723.125146117"
"1468175.4698273102,5238499.553364705"
"4200914.913078637,172559.78113431946"
"3978011.8563758866,-8852.26369553953"
"-2481267.01414772,4600035.368873526"
"-2264464.9420142504,4405113.155037412"
"-2086404.946720979,4576377.368984266"
"-2216643.1592213525,4832251.375645152"
"1399826.2946996866,-6079431.944833885"
"1217458.8305991327,5966250.183009164"
"-2124778.284007011,4664687.170499544"
"1744875.7425893862,-6113485.539555968"
"-2489478.663588918,4472710.383910992"
"-3815703.8251259257,3566515.0906043677"
"-2260404.2152677705,5009013.9799454585"
"-2239865.320770764,4710078.507542821"
"-2421734.295312157,5209178.702857609"
"-2410957.254289536,4694056.477258082"
