city,lat,lng,country,population
Lengshuijiang,27.6858,111.4279,China,370300.0
Anguo,38.4177,115.3204,China,370317.0
Rājapālaiyam,9.4204,77.58,India,369991.0
Rodriguez,14.7167,121.1167,Philippines,369222.0
Madan,30.3307,48.2797,Iran,370180.0
Az Zubayr,30.3892,47.7081,Iraq,370000.0
Al Qaţīf,26.5196,50.0115,Saudi Arabia,368892.0
Cuernavaca,18.9186,-99.2342,Mexico,366321.0
Nicolás Romero,19.5833,-99.3667,Mexico,366602.0
Huichang,34.9136,112.7852,China,367113.0
Vitsyebsk,55.1833,30.1667,Belarus,364800.0
Nagano,36.6486,138.1928,Japan,367184.0
Bauru,-22.3147,-49.0606,Brazil,366992.0
Yanjiao,39.9432,116.8036,China,363809.0
Bochum,51.4833,7.2167,Germany,364628.0
Anápolis,-16.3269,-48.9528,Brazil,366491.0
Coventry,52.4081,-1.5106,United Kingdom,362690.0
Zalantun,48.0033,122.7365,China,366323.0
Tecámac,19.7131,-98.9683,Mexico,364579.0
Ciudad General Escobedo,25.7933,-100.1583,Mexico,363436.0
Wŏnsan,39.1475,127.4461,"Korea, North",363127.0
Kocaeli,40.7656,29.9406,Turkey,363416.0
Bengkulu,-3.7956,102.2592,Indonesia,360495.0
Shuanghejiedao,30.3866,106.7756,China,360000.0
Surgut,61.25,73.4333,Russia,360590.0
Bobo-Dioulasso,11.1833,-4.2833,Burkina Faso,360106.0
Umuahia,5.5333,7.4833,Nigeria,359230.0
Gedaref,14.0333,35.3833,Sudan,354927.0
Palu,-0.895,119.8594,Indonesia,359350.0
Santa Rosa,14.3167,121.1167,Philippines,353767.0
Pokhara,28.2097,83.9853,Nepal,353841.0
Mahilyow,53.9089,30.343,Belarus,357100.0
Wudalianchi,48.6433,126.1408,China,360000.0
Sungai Petani,5.65,100.48,Malaysia,358499.0
Nam Định,20.42,106.1683,Vietnam,352108.0
Sinŭiju,40.1,124.4,"Korea, North",359341.0
Vitória,-20.3189,-40.3378,Brazil,355875.0
Hrodna,53.6667,23.8167,Belarus,356900.0
Vladimir,56.1286,40.4058,Russia,356168.0
Bilbao,43.2569,-2.9236,Spain,350184.0
São Vicente,-23.9633,-46.3922,Brazil,355542.0
Cubal,-13.0333,14.2333,Angola,357618.0
Yong’an,25.9733,117.3593,China,357000.0
Itaquaquecetuba,-23.4864,-46.3486,Brazil,352801.0
Wuppertal,51.2667,7.1833,Germany,354382.0
Minatitlán,17.9833,-94.55,Mexico,356020.0
Nizhniy Tagil,57.9167,59.9667,Russia,355693.0
Ponta Grossa,-25.095,-50.1619,Brazil,355336.0
Hongzhai,35.0476,104.6394,China,355037.0
Wakayama,34.2333,135.1667,Japan,353299.0
Pavlodar,52.3156,76.9564,Kazakhstan,353930.0
Gimpo,37.6236,126.7142,"Korea, South",352683.0
Rahimyar Khan,28.4202,70.2952,Pakistan,353203.0
Nara,34.6833,135.7833,Japan,352377.0
Van,38.5019,43.4167,Turkey,353419.0
Corrientes,-27.4833,-58.8167,Argentina,352646.0
San Pedro,14.3583,121.0583,Philippines,325809.0
Neiva,2.9275,-75.2875,Colombia,353033.0
Arkhangelsk,64.55,40.5333,Russia,351488.0
Licheng,24.4935,110.3902,China,352472.0
Koshigaya,35.8911,139.7908,Japan,346768.0
Cabimas,10.4,-71.4333,Venezuela,351735.0
Yakeshi,49.2842,120.7283,China,352173.0
Baguio City,16.4152,120.5956,Philippines,345366.0
Ahmadnagar,19.0833,74.7333,India,350859.0
Fayetteville,36.0713,-94.166,United States,351246.0
Canoas,-29.92,-51.18,Brazil,348208.0
Holguín,20.8872,-76.2631,Cuba,350191.0
Qoqon,40.5404,70.94,Uzbekistan,350000.0
Anaheim,33.839,-117.8572,United States,350365.0
Yingmen,39.83,97.73,China,350000.0
Piracicaba,-22.725,-47.6489,Brazil,342209.0
Bydgoszcz,53.1167,18.0,Poland,346739.0
Antofagasta,-23.6464,-70.398,Chile,348517.0
Khorramābād,33.4667,48.35,Iran,348216.0
Rājahmundry,16.9833,81.7833,India,341831.0
Chita,52.0333,113.5,Russia,347088.0
Caruaru,-8.2828,-35.9758,Brazil,347088.0
Makiivka,48.0556,37.9611,Ukraine,347376.0
Chitungwiza,-18.0,31.1,Zimbabwe,340360.0
Pensacola,30.4427,-87.1886,United States,346921.0
Victorville,34.5277,-117.3536,United States,346789.0
Tanch’ŏn,40.458,128.911,"Korea, North",345876.0
Tokorozawa,35.7994,139.4689,Japan,341195.0
Sumqayıt,40.5917,49.6397,Azerbaijan,341200.0
Kūstī,13.17,32.66,Sudan,345068.0
Al ‘Amārah,31.8416,47.1512,Iraq,345007.0
Cuddapah,14.4667,78.8167,India,344893.0
Simferopol,44.9484,34.1,Ukraine,341799.0
Plovdiv,42.1433,24.7489,Bulgaria,340494.0
Tarlac City,15.4802,120.5979,Philippines,342493.0
Ōtsu,35.0167,135.85,Japan,342607.0
Pelotas,-31.7719,-52.3428,Brazil,343132.0
Lancaster,34.6935,-118.1753,United States,343304.0
Greensboro,36.0956,-79.8269,United States,343090.0
Iligan,8.2333,124.25,Philippines,342618.0
East London,-33.0153,27.9116,South Africa,338627.0
Franca,-20.5389,-47.4008,Brazil,342112.0
Brest,52.0847,23.6569,Belarus,340318.0
Kaluga,54.5333,36.2667,Russia,341892.0
Yeosu,34.7368,127.7458,"Korea, South",341994.0
Corpus Christi,27.726,-97.3755,United States,342464.0
Muzaffarpur,26.12,85.3833,India,333200.0
Lublin,51.2333,22.5667,Poland,339850.0
Lianran,24.9211,102.4778,China,341341.0
Alwar,27.5667,76.6167,India,341422.0
Baishan,41.9377,126.4179,China,330000.0
Kawagoe,35.9251,139.4858,Japan,337931.0
Farg‘ona,40.3864,71.7864,Uzbekistan,340600.0
Tamuramachi-moriyama,37.3252,140.4134,Japan,340560.0
Brahmapur,19.32,84.8,India,324726.0
Buôn Ma Thuột,12.6667,108.05,Vietnam,340000.0
Biñan,14.3333,121.0833,Philippines,333028.0
Semey,50.4111,80.2275,Kazakhstan,340000.0
Tarsus,36.9167,34.9,Turkey,339676.0
Alicante,38.3453,-0.4831,Spain,337482.0
Randburg,-26.0936,28.0064,South Africa,337053.0
Tepic,21.5083,-104.8931,Mexico,332863.0
Jitpur,27.6666,85.3333,Nepal,337785.0
Kaesŏng,37.964,126.5644,"Korea, North",338155.0
Beni,0.5,29.4667,Congo (Kinshasa),332903.0
Petrolina,-9.3928,-40.5078,Brazil,337683.0
Chinju,35.1928,128.0847,"Korea, South",337230.0
Tangdong,25.9755,113.2302,China,337495.0
Butuan,8.9534,125.5288,Philippines,337063.0
Reading,51.4542,-0.9731,United Kingdom,337108.0
Uberaba,-19.7478,-47.9319,Brazil,337092.0
Belfast,54.5964,-5.93,United Kingdom,333871.0
Iwaki,37.0333,140.8833,Japan,336111.0
Blida,36.4722,2.8333,Algeria,331779.0
Hangu,39.232,117.777,China,332793.0
Yingzhong,32.2381,119.8133,China,334977.0
Viña del Mar,-33.0245,-71.5518,Chile,332875.0
Bielefeld,52.0167,8.5333,Germany,333786.0
Cuenca,-2.8974,-79.0045,Ecuador,329928.0
Fort Wayne,41.0886,-85.1437,United States,334122.0
Lipa City,13.9411,121.1622,Philippines,332386.0
Wad Medani,14.4,33.51,Sudan,332714.0
Ribeirão das Neves,-19.7669,-44.0869,Brazil,331045.0
Kāmārhāti,22.67,88.37,India,330211.0
